Token Name,Name,Role,File Name,Photo URL,Credit
person01,Amaya Davani,Sr. Software Developer,person01.jpg,https://unsplash.com/photos/-ys114vMEIk,"Photo by <a href=""https://unsplash.com/@amirvisuals?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Amir Esrafili</a> on <a href=""https://unsplash.com/s/photos/indian-woman?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
person02,Marcus Jones,Business Analyst,person02.jpg,https://unsplash.com/photos/29pFbI_D1Sc,"Photo by <a href=""https://unsplash.com/@tamarcusbrown?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Tamarcus Brown</a> on <a href=""https://unsplash.com/s/photos/persona?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
person03,Javier Rubio,Application Support Analyst,person03.jpg,https://unsplash.com/photos/3TOtm8zy-eM,"Photo by <a href=""https://unsplash.com/@andrea_rico?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Andrea Rico</a> on <a href=""https://unsplash.com/s/photos/persona?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
person04,Sydney Coleman,Financial Analyst II,person04.jpg,https://unsplash.com/photos/wOe_VGJe3TE,"Photo by <a href=""https://unsplash.com/@shawnee_d?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Shawnee D</a> on <a href=""https://unsplash.com/s/photos/indian-woman?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
person05,Johar Ahuja,Data Center Support Specialist,person05.jpg,https://unsplash.com/photos/sYhUhse5uT8,"Photo by <a href=""https://unsplash.com/@arrullin?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Arrul lin</a> on <a href=""https://unsplash.com/s/photos/indian-man?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
person06,Melanie Foote,Marketing Promotions Specialist,person06.jpg,https://unsplash.com/photos/j5almO1E8rU,"Photo by <a href=""https://unsplash.com/@belart84?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Artem Beliaikin</a> on <a href=""https://unsplash.com/s/photos/persona?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
person07,Jayden Harris,Product Marketing Manager,person07.jpg,https://unsplash.com/photos/sibVwORYqs0,"Photo by <a href=""https://unsplash.com/@armedshutter?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Ayo Ogunseinde</a> on <a href=""https://unsplash.com/s/photos/persona?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
person08,Gabriel Martinez,Marketing Research Associate,person08.jpg,https://unsplash.com/photos/OhKElOkQ3RE,"Photo by <a href=""https://unsplash.com/@brokenlenscap?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Ben Parker</a> on <a href=""https://unsplash.com/s/photos/persona?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
person09,Cameron Thomas,Information Systems Director,person09.jpg,https://unsplash.com/photos/95UF6LXe-Lo,"Photo by <a href=""https://unsplash.com/@charlesetoroma?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Charles Etoroma</a> on <a href=""https://unsplash.com/s/photos/persona?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
person10,David Hilliers,Sr. Database Administrator,person10.jpg,https://unsplash.com/photos/DItYlc26zVI,"Photo by <a href=""https://unsplash.com/@christianbuehner?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">christian buehner</a> on <a href=""https://unsplash.com/s/photos/persona?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
person11,Jessica Furst,Data Quality Manager,person11.jpg,https://unsplash.com/photos/O_XIvDy0pcs,"Photo by <a href=""https://unsplash.com/@christiana?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Christiana Rivers</a> on <a href=""https://unsplash.com/s/photos/persona?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
person12,Maria Ortiz,Risk & Compliance Officer,person12.jpg,https://unsplash.com/photos/0Zx1bDv5BNY,"Photo by <a href=""https://unsplash.com/@wocintechchat?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Christina @ wocintechchat.com</a> on <a href=""https://unsplash.com/s/photos/persona?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
person13,Julia Colon,IP Attorney,person13.jpg,https://unsplash.com/photos/SJvDxw0azqw,"Photo by <a href=""https://unsplash.com/@wocintechchat?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Christina @ wocintechchat.com</a> on <a href=""https://unsplash.com/s/photos/persona?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
person14,Hailey Jackson,Blockchain Engineer,person14.jpg,https://unsplash.com/photos/FbTOrJ2G8KI,"Photo by <a href=""https://unsplash.com/@clemono?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Clem Onojeghuo</a> on <a href=""https://unsplash.com/s/photos/persona?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
person15,Tyler Brown,Quantitative Analyst,person15.jpg,https://unsplash.com/photos/VNYCIbZju0o,"Photo by <a href=""https://unsplash.com/@fideletty?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Etty Fidele</a> on <a href=""https://unsplash.com/s/photos/persona?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
person16,Jasmine Robinson,"Director, Technical Education",person16.jpg,https://unsplash.com/photos/OeXcIHFwtsM,"Photo by <a href=""https://unsplash.com/@eyeforebony?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Eye for Ebony</a> on <a href=""https://unsplash.com/s/photos/persona?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
person17,Tiana Walker,Senior Security Specialist,person17.jpg,https://unsplash.com/photos/vYpbBtkDhNE,"Photo by <a href=""https://unsplash.com/@eyeforebony?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Eye for Ebony</a> on <a href=""https://unsplash.com/s/photos/persona?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
person18,Jivan Patel,Machine Learning Engineer,person18.jpg,https://unsplash.com/photos/k9tUQNeOfx0,"Photo by <a href=""https://unsplash.com/@himanshudewangan?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Himanshu Dewangan</a> on <a href=""https://unsplash.com/s/photos/indian-man?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
person19,Gael Lopez,Senior Web Administrator,person19.jpg,https://unsplash.com/photos/iFgRcqHznqg,"Photo by <a href=""https://unsplash.com/@miracletwentyone?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Joseph Gonzalez</a> on <a href=""https://unsplash.com/s/photos/persona?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
person20,Qiang Li,HR Specialist,person20.jpg,https://unsplash.com/photos/WC7KIHo13Fc,"Photo by <a href=""https://unsplash.com/@juanencalada?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Juan Encalada</a> on <a href=""https://unsplash.com/s/photos/persona?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
person21,Xiu-Ying Wang,User Experience Designer,person21.jpg,https://unsplash.com/photos/dcZsxUAAJXs,"Photo by <a href=""https://unsplash.com/@hollowkeith?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Lau keith</a> on <a href=""https://unsplash.com/s/photos/persona?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
person22,Balraj Khatri,Investor Relations Specialist,person22.jpg,https://unsplash.com/photos/Iskck0kl210,"Photo by <a href=""https://unsplash.com/@marckleen?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Marc Kleen</a> on <a href=""https://unsplash.com/s/photos/indian-man?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
person23,Martin Lee,Senior Systems Adminstrator,person23.jpg,https://unsplash.com/photos/TMgQMXoglsM,"Photo by <a href=""https://unsplash.com/@masonauguste?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Mason Wilkes</a> on <a href=""https://unsplash.com/s/photos/persona?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
person24,Nisha Balakrishnan,Customer Support Specialist II,person24.jpg,https://unsplash.com/photos/W7b3eDUb_2I,"Photo by <a href=""https://unsplash.com/@matheusferrero?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Matheus Ferrero</a> on <a href=""https://unsplash.com/s/photos/persona?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
person25,Jennifer Baker,InfoSec Analyst III,person25.jpg,https://unsplash.com/photos/mEZ3PoFGs_k,"Photo by <a href=""https://unsplash.com/@michaeldam?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Michael Dam</a> on <a href=""https://unsplash.com/s/photos/persona?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
person26,Max Sandoval,"Director, Facilities",person26.jpg,https://unsplash.com/photos/S7nzSaoMQi4,"Photo by <a href=""https://unsplash.com/@mparzuchowski?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Michał Parzuchowski</a> on <a href=""https://unsplash.com/s/photos/persona?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
person27,Lalika Dewan,Cyber Risk Analyst,person27.jpg,https://unsplash.com/photos/jWtHN3s-NqA,"Photo by <a href=""https://unsplash.com/@raaminka?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Raamin ka</a> on <a href=""https://unsplash.com/s/photos/indian-woman?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
person28,Roobert Goode,Sr. Technical Writer,person28.jpg,https://unsplash.com/photos/cdksyTqEXzo,"Photo by <a href=""https://unsplash.com/@funpictures?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Robert Godwin</a> on <a href=""https://unsplash.com/s/photos/persona?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
person29,Yasmin García,Legal Analyst,person29.jpg,https://unsplash.com/photos/1xzNHDtE8O8,"Photo by <a href=""https://unsplash.com/@andrea_rico?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Andrea Rico</a> on <a href=""https://unsplash.com/s/photos/persona?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
person30,Sagara Kohli,"Dir., Social Media Marketing",person30.jpg,https://unsplash.com/photos/gDwGgYRXsgY,"Photo by <a href=""https://unsplash.com/@skgphotography?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">SKG Photography</a> on <a href=""https://unsplash.com/s/photos/indian-woman?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
person31,Nancy Greenwald,Technical Recruiting Manager,person31.jpg,https://unsplash.com/photos/QQsRTGAZp9o,"Photo by <a href=""https://unsplash.com/@antsphotography14?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Anthony Metcalfe</a> on <a href=""https://unsplash.com/s/photos/persona?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
person32,Nathan Adams,Sr. Software Architect,person32.jpg,https://unsplash.com/photos/ZGa9d1a_4tA,"Photo by <a href=""https://unsplash.com/@jtylernix?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Tyler Nix</a> on <a href=""https://unsplash.com/s/photos/persona?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
suit,Men's Suite,,suit.jpg,https://unsplash.com/photos/YxbwyTb5ijs,"Photo by <a href=""https://unsplash.com/@hermez777?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Hermes Rivera</a> on <a href=""https://unsplash.com/s/photos/suit?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>
  "
uxpin-black,UXPin Logo - Black Fill,,uxpin_logo_black.png,,Courtesy of UXPin
uxpin-white,UXPin Logo - White Fill,,uxpin_logo_white.png,,Courtesy of UXPin
